name,hint
tanjiro kamado,"the nicest guy with a sword and a sniffer"
nezuko kamado,"bamboo-loving sister who kicks demons"
zenitsu agatsuma,"scaredy-cat who turns into thunder"
inosuke hashibira,"boar-headed chaos and abs power"
kanao tsuyuri,"flip-a-coin decision maker"
giyu tomioka,Mr. "I'm not good with people"
rengoku kyojuro,"Flame Hashira with unshakable optimism"
muzan kibutsuji,"the Michael Jackson of anime villains"
shinobu kocho,"poison expert who smiles while insulting you"
tengen uzui,"flashy ninja with three wives"
