"name","hint"
"naruto uzumaki","orange ninja with a ramen addiction"
"sasuke uchiha","revenge-driven emo with a sharingan"
"sakura haruno","punches harder than her relevance"
"kakashi hatake","copy ninja with a mask and a book"
"jiraiya","pervy sage who trained legends"
"hinata hyuga","quiet girl with a deadly stare"
"rock lee","bowl cut, big kicks, no ninjutsu"
"shikamaru nara","lazy genius"
"minato namikaze","yellow blur who teleports faster than your thoughts"
"ino yamanaka","mind games and salon-level confidence"
"kurama","way too many tails"
